datetime,open,high,low,close,range,body,direction,tickvol,spread
2026-02-05 02:53:00,5016.19,5016.19,5011.36,5012.11,4.83,4.08,BEAR,432,4
2026-02-05 02:54:00,5012.11,5017.65,5011.21,5014.75,6.44,2.64,BULL,398,4
2026-02-05 02:55:00,5014.75,5015.44,5008.42,5010.08,7.02,4.67,BEAR,450,4
2026-02-05 02:56:00,5010.04,5012.48,5009.22,5009.86,3.26,0.18,BEAR,327,4
2026-02-05 02:57:00,5009.86,5011.05,5009.78,5010.26,1.27,0.4,BULL,274,4
2026-02-05 02:58:00,5010.26,5010.26,5004.26,5006.95,6.0,3.31,BEAR,434,4
2026-02-05 02:59:00,5006.95,5011.01,5004.67,5006.89,6.34,0.06,BEAR,618,4
2026-02-05 03:00:00,5006.89,5012.12,5001.3,5003.73,10.82,3.16,BEAR,1123,4
2026-02-05 03:01:00,5003.93,5007.84,4991.1,5001.36,16.74,2.57,BEAR,1033,4
2026-02-05 03:02:00,5001.23,5001.27,4990.86,4995.66,10.41,5.57,BEAR,1103,4
2026-02-05 03:03:00,4996.04,5000.65,4993.87,4994.56,6.78,1.48,BEAR,1023,4
2026-02-05 03:04:00,4994.56,5003.63,4993.95,5002.17,9.68,7.61,BULL,798,4
2026-02-05 03:05:00,5002.17,5003.54,4997.23,5002.45,6.31,0.28,BULL,846,4
2026-02-05 03:06:00,5002.45,5003.33,4991.24,4996.9,12.09,5.55,BEAR,1091,4
2026-02-05 03:07:00,4996.79,5005.8,4994.95,5005.61,10.85,8.82,BULL,1117,4
2026-02-05 03:08:00,5005.81,5005.82,4999.21,5000.29,6.61,5.52,BEAR,627,4
2026-02-05 03:09:00,5000.29,5004.28,4998.84,4999.62,5.44,0.67,BEAR,693,4
2026-02-05 03:10:00,4999.62,5001.19,4992.16,4995.88,9.03,3.74,BEAR,635,4
2026-02-05 03:11:00,4995.91,4997.71,4988.55,4989.93,9.16,5.98,BEAR,807,4
2026-02-05 03:12:00,4989.93,4990.61,4975.16,4978.65,15.45,11.28,BEAR,984,4
2026-02-05 03:13:00,4978.65,4982.33,4973.18,4975.85,9.15,2.8,BEAR,1146,4
2026-02-05 03:14:00,4975.85,4980.58,4967.09,4967.67,13.49,8.18,BEAR,1228,4
2026-02-05 03:15:00,4967.86,4973.22,4951.19,4955.17,22.03,12.69,BEAR,1390,4
2026-02-05 03:16:00,4954.92,4959.87,4946.85,4950.74,13.02,4.18,BEAR,1325,4
2026-02-05 03:17:00,4950.9,4961.96,4949.09,4958.86,12.87,7.96,BULL,1008,4
2026-02-05 03:18:00,4958.98,4962.1,4954.23,4956.61,7.87,2.37,BEAR,935,4
2026-02-05 03:19:00,4956.61,4957.05,4944.3,4944.72,12.75,11.89,BEAR,1044,4
2026-02-05 03:20:00,4944.72,4953.57,4943.96,4945.55,9.61,0.83,BULL,1006,4
